"","pitcher","hit","out","total","obp"
"267",660787,13,49,62,0.209677419354839
"268",660813,42,118,160,0.2625
"269",661440,4,13,17,0.235294117647059
"270",663158,12,52,64,0.1875
"271",663321,3,9,12,0.25
"272",663362,28,91,119,0.235294117647059
"273",663372,35,93,128,0.2734375
"274",663432,1,3,4,0.25
"275",663542,6,12,18,0.333333333333333
"276",663546,30,61,91,0.32967032967033
"277",663559,64,147,211,0.303317535545024
"278",663562,29,57,86,0.337209302325581
"279",663567,76,181,257,0.295719844357977
"280",663574,4,9,13,0.307692307692308
"281",663623,96,276,372,0.258064516129032
"282",663629,9,12,21,0.428571428571429
"283",663658,17,55,72,0.236111111111111
"284",663753,10,16,26,0.384615384615385
"285",663765,53,118,171,0.309941520467836
"286",663773,58,157,215,0.269767441860465
"287",663855,29,86,115,0.252173913043478
"288",663897,0,3,3,0
"289",663941,69,189,258,0.267441860465116
"290",663971,0,3,3,0
"291",664028,16,33,49,0.326530612244898
"292",664062,52,189,241,0.215767634854772
"293",664129,1,8,9,0.111111111111111
"294",664139,45,145,190,0.236842105263158
"295",664192,39,112,151,0.258278145695364
"296",664202,1,5,6,0.166666666666667
"297",664294,29,107,136,0.213235294117647
"298",664744,0,3,3,0
"299",664747,37,134,171,0.216374269005848
"300",664776,5,7,12,0.416666666666667
"301",664849,2,6,8,0.25
"302",664854,15,56,71,0.211267605633803
"303",664874,0,2,2,0
"304",664875,47,143,190,0.247368421052632
"305",664901,8,4,12,0.666666666666667
"306",664942,22,27,49,0.448979591836735
"307",664948,9,20,29,0.310344827586207
"308",665019,4,5,9,0.444444444444444
"309",665048,12,34,46,0.260869565217391
"310",665625,33,100,133,0.24812030075188
"311",665665,14,30,44,0.318181818181818
"312",665795,60,214,274,0.218978102189781
"313",665871,69,203,272,0.253676470588235
"314",666129,116,330,446,0.260089686098655
"315",666154,25,57,82,0.304878048780488
"316",666157,18,48,66,0.272727272727273
"317",666168,51,94,145,0.351724137931034
"318",666200,101,339,440,0.229545454545455
"319",666207,1,1,2,0.5
"320",666277,25,71,96,0.260416666666667
"321",666808,38,130,168,0.226190476190476
"322",666818,19,56,75,0.253333333333333
"323",667463,17,37,54,0.314814814814815
"324",668338,10,26,36,0.277777777777778
"325",668665,20,50,70,0.285714285714286
"326",668678,116,380,496,0.233870967741935
"327",668868,62,155,217,0.285714285714286
"328",668873,10,11,21,0.476190476190476
"329",668881,64,191,255,0.250980392156863
"330",668933,127,330,457,0.277899343544858
"331",668941,18,63,81,0.222222222222222
"332",668942,5,3,8,0.625
"333",668970,18,61,79,0.227848101265823
"334",668984,7,18,25,0.28
"335",669022,100,244,344,0.290697674418605
"336",669060,43,149,192,0.223958333333333
"337",669093,10,25,35,0.285714285714286
"338",669105,10,12,22,0.454545454545455
"339",669160,28,129,157,0.178343949044586
"340",669165,0,6,6,0
"341",669194,122,286,408,0.299019607843137
"342",669203,85,342,427,0.199063231850117
"343",669270,6,8,14,0.428571428571429
"344",669276,16,38,54,0.296296296296296
"345",669387,27,85,112,0.241071428571429
"346",669432,16,50,66,0.242424242424242
"347",669459,34,122,156,0.217948717948718
"348",669461,28,81,109,0.256880733944954
"349",669467,54,138,192,0.28125
"350",669713,54,157,211,0.255924170616114
"351",669796,32,89,121,0.264462809917355
"352",670032,4,6,10,0.4
"353",670059,39,112,151,0.258278145695364
"354",670241,15,56,71,0.211267605633803
"355",670280,41,145,186,0.220430107526882
"356",670329,6,9,15,0.4
"357",670712,1,4,5,0.2
"358",670871,2,3,5,0.4
"359",670912,102,319,421,0.242280285035629
"360",670955,0,6,6,0
"361",670970,14,23,37,0.378378378378378
"362",670990,23,61,84,0.273809523809524
"363",671096,75,241,316,0.237341772151899
"364",671131,18,37,55,0.327272727272727
"365",672710,33,101,134,0.246268656716418
"366",672841,5,12,17,0.294117647058824
"367",672851,46,115,161,0.285714285714286
"368",673540,85,343,428,0.198598130841121
"369",674072,51,152,203,0.251231527093596
"370",674285,8,24,32,0.25
"371",674370,44,115,159,0.276729559748428
"372",674681,8,11,19,0.421052631578947
"373",675627,53,111,164,0.323170731707317
"374",675911,98,380,478,0.205020920502092
"375",675989,21,44,65,0.323076923076923
"376",676050,1,8,9,0.111111111111111
"377",676083,8,19,27,0.296296296296296
"378",676130,27,97,124,0.217741935483871
"379",676254,47,118,165,0.284848484848485
"380",676265,41,80,121,0.338842975206612
"381",676272,67,236,303,0.221122112211221
"382",676395,16,49,65,0.246153846153846
"383",676475,2,2,4,0.5
"384",676680,14,87,101,0.138613861386139
"385",676701,1,3,4,0.25
"386",676702,8,27,35,0.228571428571429
"387",676714,7,30,37,0.189189189189189
"388",676775,27,90,117,0.230769230769231
"389",676961,1,7,8,0.125
"390",677020,5,16,21,0.238095238095238
"391",677053,37,125,162,0.228395061728395
"392",677076,6,7,13,0.461538461538462
"393",677865,14,36,50,0.28
"394",677944,8,30,38,0.210526315789474
"395",677960,55,137,192,0.286458333333333
"396",678061,15,46,61,0.245901639344262
"397",678226,2,5,7,0.285714285714286
"398",678606,27,58,85,0.317647058823529
"399",679885,8,12,20,0.4
"400",680686,111,302,413,0.268765133171913
"401",680689,6,21,27,0.222222222222222
"402",680723,49,75,124,0.395161290322581
"403",680767,15,20,35,0.428571428571429
"404",681402,25,50,75,0.333333333333333
"405",681432,5,19,24,0.208333333333333
"406",681517,2,2,4,0.5
"407",681584,0,2,2,0
"408",681882,28,46,74,0.378378378378378
"409",681911,45,110,155,0.290322580645161
"410",682227,79,253,332,0.237951807228916
"411",682842,14,67,81,0.17283950617284
"412",682847,63,145,208,0.302884615384615
"413",682990,51,117,168,0.303571428571429
"414",683175,5,16,21,0.238095238095238
"415",683232,14,54,68,0.205882352941176
"416",685314,6,18,24,0.25
"417",686218,27,108,135,0.2
"418",686294,29,57,86,0.337209302325581
"419",686651,7,17,24,0.291666666666667
"420",686730,18,36,54,0.333333333333333
"421",686747,24,74,98,0.244897959183673
"422",686752,19,92,111,0.171171171171171
"423",686753,36,90,126,0.285714285714286
"424",686826,8,41,49,0.163265306122449
"425",686842,5,8,13,0.384615384615385
"426",686972,6,6,12,0.5
"427",687145,12,12,24,0.5
"428",687798,13,20,33,0.393939393939394
"429",689147,3,9,12,0.25
"430",689167,0,6,6,0
"431",689172,1,3,4,0.25
"432",689266,47,81,128,0.3671875
"433",689690,0,1,1,0
"434",690986,22,87,109,0.201834862385321
"435",691094,3,6,9,0.333333333333333
"436",691587,45,171,216,0.208333333333333
"437",693312,7,12,19,0.368421052631579
"438",693821,108,319,427,0.252927400468384
"439",694037,20,66,86,0.232558139534884
"440",694297,64,194,258,0.248062015503876
"441",694363,46,95,141,0.326241134751773
"442",694813,30,54,84,0.357142857142857
"443",696136,33,93,126,0.261904761904762
"444",700363,17,73,90,0.188888888888889
"445",701643,24,69,93,0.258064516129032
